Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW,SNWD (Inches)
1945/10/31,49,,,,,
1945/11/1,53,,,,,
1945/11/2,53,,,,,
1945/11/3,49,,,,,
1945/11/4,53,,,,,
1945/11/5,55,,,,,
1945/11/6,49,,,,,
1945/11/7,51,,,,,
1945/11/8,50,,,,,
1945/11/9,53,,,,,
1945/11/10,50,,,,,
1945/11/11,40,,,,,
1945/11/12,46,,,,,
1945/11/13,47,,,,,
1945/11/14,46,,,,,
1945/11/15,43,,,,,
1945/11/16,46,,,,,
1945/11/17,47,,,,,
1945/11/18,48,,,,,
1945/11/19,42,,,,,
1945/11/20,43,,,,,
1945/11/21,39,,,,,
1945/11/22,36,,,,,
1945/11/23,38,,,,,
1945/11/24,40,,,,,
1945/11/25,44,,,,,
1945/11/26,43,,,,,
1945/11/27,35,,,,,
1945/11/28,33,,,,,
1945/11/29,33,,,,,
1945/11/30,27,,,,,
1945/12/1,31,,,,,
1945/12/2,39,,,,,
1945/12/3,38,,,,,
1945/12/4,34,,,,,
1945/12/5,39,,,,,
1945/12/6,41,,,,,
1945/12/7,33,,,,,
1945/12/20,30,,,,,
1945/12/21,31,,,,,
1945/12/22,25,,,,,
1945/12/23,24,,,,,
1945/12/24,27,,,,,
1945/12/25,30,,,,,
1945/12/26,27,,,,,
1945/12/27,19,,,,,
1945/12/28,19,,,,,
1945/12/29,22,,,,,
1945/12/30,21,,,,,
1945/12/31,20,,,,,
1946/1/1,25,,,,,
1946/1/2,24,,,,,
1946/1/3,20,,,,,
1946/1/4,21,,,,,
1946/1/5,18,,,,,
1946/1/6,25,,,,,
1946/1/7,24,,,,,
1946/1/8,26,,,,,
1946/1/9,21,,,,,
1946/1/10,20,,,,,
1946/1/11,23,,,,,
1946/1/12,22,,,,,
1946/1/13,32,,,,,
1946/1/14,32,,,,,
1946/1/15,25,,,,,
1946/1/16,23,,,,,
1946/1/17,22,,,,,
1946/1/18,27,,,,,
1946/1/19,35,,,,,
1946/1/20,34,,,,,
1946/1/21,26,,,,,
1946/1/22,31,,,,,
1946/1/23,38,,,,,
1946/1/24,26,,,,,
1946/1/25,28,,,,,
1946/1/26,23,,,,,
1946/1/27,25,,,,,
